,date,review,rating,isEdited,userName,title,developerResponse,bank_app
0,8/21/2023 22:42,"I tried this one because of the notification in the old app that they will soon replace it with this one. Upon using this new app for the first time, I learned that I have to create a new password for this app and that the old app and BDO website will still use my old password. In short, they are using two separate systems or database for the old app / BDO website and this new app. I don’t want to maintain two separate passwords for my BDO account because your old app prevents pasting passwords from a password manager and this new app entirely blocks us from using a password manager (the only good thing about this new app is that it allows pasting my password from my password manager).

Since this app is already very annoying at the registration part, I will not bother to use it and will just uninstall it. Do not block us from using the old app because that one is still better than this one despite the hundreds of bugs and missing features in that old app. In fact, you should take down this app from the Apple Store and do your QA testing and regression testing first. It is clearly an Alpha version and not even a candidate for a beta release.",1,False,Dence07,Useless app,,Banco De Oro
1,6/29/2023 6:55,"I am quite disappointed with the BDO App’s lack of a card lock/unlock feature. It is a fundamental security measure that I believe should be included in any banking app. Without this feature, I feel vulnerable and exposed to potential risks if my card gets lost or stolen. Other banking apps have already implemented this functionality, recognizing its importance in protecting customers from unauthorized transactions. It’s puzzling why the BDO App has overlooked such a critical feature. It leaves me wondering if they truly prioritize customer security. In today’s digital age, where fraud and cyber threats are prevalent, having the ability to lock and unlock your card instantly through the app would provide peace of mind. It would save customers the hassle of calling customer service or visiting a branch, especially when time is of the essence. I hope that BDO recognizes the significance of this feature and takes steps to rectify the situation. Until then, I find it difficult to fully trust and recommend the BDO App for its lack of card lock/unlock functionality.",1,False,Domansss,SMH,,Banco De Oro
2,9/18/2023 14:58,"I have this app for a almost a month already and installed in on my other device. With an expectation that this will be much easier, turned out it was not. Here are some things that you need to reconsider before using this app:

1. All billers enrolled in the previous app have to be re-enrolled in this new app. What a hassle! 
2. All nominated accounts for online transfers also have to be re-enrolled in this new app. Another hassle!
3. Credit card transactions, and some debit card transactions do not reflect real time in this app, unlike in the previous app. Hassle! 
4. Transferring money says being processed when in fact, the funds have been debited already. Hard to send a screenshot saying “being processed” to the receiver of the funds as it may send them a message that it wasn't successfully transferred yet. Then after a few hours, you’ll receive a confirmation email that the transaction was complete. In other words, the transfer transaction seems to be on pending status until after a few hours. Super hassle!
5. The interface is okay, but the functionality is not. But not because it’s new, but because it’s not just friendly compared with the existing one.

I decided to still continue using the existing app. And should BDO remove the existing app, while the issues I encountered above have not be fixed, might switch may primary online banking instead.",1,False,Je123DJ,Not User Friendly,,Banco De Oro
3,8/18/2023 8:18,"What are these apps you keep developing? Do these even go through testing? A company raking in billions year after year, but develops apps lacking basic features. Aims to be minimalistic though compromises functionality. 1. There is no option to view your home loan. I cannot find where I can have that added. I have it on the old app but not here. 2. No card lock/unlock feature. This is basic and essential for any bank to have on their app yet there’s none in this “new” app. 3. It shows all accounts linked to you but they have a made an option for you to only choose which you want to be visible on the app. It does not remove the fact that the account is still there. Shows how inconsiderate the developers are with customers. 4. The looks improved but it still loads slow. 5. No control to how much you can withdraw thru an ATM. Basic feature in any other banking app but apparently it must be a premium feature for BDO. 🤪",1,False,Rieyuxel,Higher a UX Designer!,,Banco De Oro
4,2/3/2022 8:57,Since i have read the reviews and its not appealing because of so many negative feedbacks. Idid not install it. Their BDO pay also is also useless i had the old one before but i remove it not so much billers. Then this new one came along i did install it but with no luck. It lock me out then informed to call the BDO customer service. Because of so many tries and in fact i did input the right user name and password. For now i still use the old BDO Digital Banking better than the new ones. Even though sometimes there are bugs like finger scanning sometimes it keeps on asking to go settings when in fact i had check on my settings also the immediate balance enquiry now showing ni bank account to show so everytime i open my account i need to input everything. All their apps are messy. Big company cannot pay the highly tech people to provide them an improve applications.,1,False,Abner61,TO MANY BDO APPS but useless.,,Banco De Oro
5,8/9/2023 23:22,"I am very disappointed with the bdo online app. Today I used the buy load module to purchase load. I went thru the process of inputting the details, until I reached the “confirm button”, which I pressed to proceed with my transaction. After which, it showed the confirm button again, then pressed it again thinking that it might be a connection error. This happened for 3 more times, until I decided to close the app and log in again. Upon logging in, I saw that there were a total of 4 load transactions done, WITHOUT ANY NOTIFICATION IN THE APP that the transaction was successful. I encountered the same case when I used the transfer money module. This transaction successful notification in an app is very vital in every online banking transaction. And it was saddnening that a HUGE bank chain like BDO does not have this in their app.😤",1,False,CABaguis,Transaction Notification in the app,,Banco De Oro
6,8/21/2023 9:38,"Hello BDO, could you add an Enroll Account feature? Like for any account na need namin transfer-an ng money? Kasi sa current process sa app, ma-si-save or ma-e-enroll mo lang yung other bank account numbers if mag se-send ka ng pera. And sometimes it does not work. I could not save other bank details kapag failed ang status or in progress pa lang. Happened to me a lot of times while transferring money to another bank account throughl InstaPay. In Progress pa yung status ng transfer pero na-receive na ng pinadalhan ko yung amount. And I couldn’t bookmark or save the account details kasi “In Progress” pa. And while waiting for the status to change, ayun nag expire na auth token. Please fix this or add it as a feature because it’s time consuming. So the next time magpapadala kami ng pera sa bank account na yun, we need input the details over and over again.",3,False,NotHappyAnymore00,Add the “Enroll Billler or Acount” as a feature,,Banco De Oro
7,8/29/2023 15:42,"I like it except for the fact that transitioning to this new app meant that all the saved items from the old app disappeared so I had to input everything all over again. It was quite tedious especially since I was in a hurry to pay my bills at the time. Also, I hate that when I send money to someone else’s account, the confirmation message says “TRANSFER IN PROGRESS” but I never receive any feedback as to whether the transfer was a success. It’s frustrating because I can see that the amount has been deducted from my account. I would really like acknowledgment that the money was INDEED transferred. Please improve this feature. It can be very disconcerting not knowing whether the transaction was properly processed and completed.",3,False,Kawiegirl,A work in progress…,,Banco De Oro
8,9/1/2023 3:27,"Love the new UI but it’s too early to launch as the features which I found great from the soon to be old bdo app are not yet enabled. I was unable to save my frequent other bdo account, gcash number, other banks, etc. its very manual at this time as I have to go thru and key in all the basic info every now and then. There is a favorite function which allows you to do this, but button is not there yet. Perhaps, this would be included jn the succeeding software update. Hopefully soon! Balances do not update real time, money transfer took longer and will show ‘processing’. But you’ll be notified once completed. It would be convenient if this is processed immediately. All in all, the app is kind of good for now but can be great in the future.",3,False,athan athan,Prematured App,,Banco De Oro
9,7/6/2023 2:08,"New app looks like BPI. But unlike BPI, the favorite billers are not transferred to the new app version. You cannot simply add billers as you need to have payment first to tag it as favorite biller.
Tried to pay a biller, received Unable to pay bills message in the app. But also received text message that a transaction was processed. Checked the balance but it was not deducted. After a couple of days, tried to pay using the old app, no hassle, bill paid, text message received. Checked the new app, the balance is not yet deducted! This is misleading and seems that the cache is not cleared. Clicked the info icon, the balance is updated (minus the bills paid). Returned back to the main menu, only then that the updated amount is reflected. 
This app needs more improvement.",1,False,AnaEarl,"Unable to Pay bills, cache not refreshed",,Banco De Oro
10,8/31/2023 9:43,"Downloaded this app because there was a notification in the old app that it would transfer to a new one. The UI looks modern but in terms of use it very useless. Atleast in the old app, most of the transactions are up to date, you can even check the transaction history. This new app however, fails in the most basic update of transactions. I have both the new and old app, the bank balance refelected in the new app is way bigger. The autodeductions werent reflected yet, unlike in the old app, it was already reflected, hence the most updated bank balance. 

Its not even reliable for the most basic task of updating your current balance. The new app is useless, I suggest using the old app. Looks outdated but much more reliable than this one.",1,False,raaaae00007,"UI looks great, functionality is TERRIBLE",,Banco De Oro
11,9/16/2023 13:31,"It would be helpful if all the billers registered on the old app could be migrated to the new app. Have to input my billers one by one again as i pay them because there is no feature that allows for scheduled billing which is the best feature with the old app. The new system is a hassle. Pls add the scheduled billing feature. 

However, I do like that they put in all my accounts in one app. Very convenient. Also what happens to the old app and to all confidential info in the old app? 

This new BDO app is very much still lacking in improved features and user-friendliness. Hope they can improve it before they discontinue the old app.",3,False,espixel,Add Scheduled Payment Option/Add Registered Billers,,Banco De Oro
12,9/11/2023 6:54,"First issue was when I transferred money from BDO to BDO, the app just said that the transaction was pending even though the money was sent. No update, and no indication on my end that the transaction was successful
Next issue was with my credit card balance, it showed me a delayed balance, thinking that i still had some amount in my credit card in fact it actually has a lesser amount, making me have a declined transaction because of the late update of the balance
Next issue is with viewing the balance in my accounts, it requires several refresh to view the actual amount, no issue with my internet or wifi, the issue is mainly on the app itself.
If there is a 0 stars option I would have given this app a ZERO",1,False,sonjay777,Slow and unreliable app,,Banco De Oro
13,8/25/2023 12:31,"I only give feedback when the product is really good or really bad. This is the latter. 

I was asked by the old app to switch to this new app. I tried logging in but it says I entered a wrong password so I had to reset. Upon creating a new password and successfully logged in, the app says it can’t process anything right now. So I had to login in the web. Unfortunately it says I have an invalid password AGAIN and got locked. It says to do a “forgot password” which I tried but whenever i submit, it says unable to do this transaction this time. Right now, I’m locked out of my own account and can’t do online banking. 

For those who wants convenience, switch to another bank. I myself will be doing so since BDO is very incompetent when it comes to their online banking.",1,False,macktmo,Useless,,Banco De Oro
14,8/16/2023 4:38,"I recently received a news/message screen from the old BDO app where the old app will soon be replaced by the new app (this BDO Online) so I went and downloaded the new app. As expected, the new app is no better from the old app and it is even worse because it is more buggy and lacked a lot of important features from the old app like the lock/unlock feature which I heavily used on my credit cards. This discouraged me on using this app further so I immediately switched back to the old app. I also advise everyone to also still use the old app because it is a lot better than this one. If anyone from BDO sees this, PLEASE DO NOT FORCE YOUR USERS TO USE THIS NEW APP BECAUSE IT IS STILL FAR FROM STABLE AND FUNCTIONAL. KEEP THE OLD APP UNTIL THIS NEW APP BECOMES STABLE AND HAS THE FEATURES FROM THE OLD APP.",1,False,Keerroo,The new app is worse than the old app,,Banco De Oro
15,8/26/2023 4:45,"I downloaded this app because of the advisory from the old app. However, I did not not expect that I have to recreate a new account and create a new password just for it. Upon registration I was able to login but the succeeding tries, it keeps crashing. I thought since this is going to be the new app, it should have just copied all the data from the old app. It is hard to navigate around as well. I tried adding accounts but it won’t let me. I still prefer the old app even if the interface doesn’t look like the modern interfaces but it is functional cause you can get things done there hassle free. Hope they tested this app properly first before releasing it to the public.",1,False,Grrrrrrrrrrx,Cannot Login and Hard to navigate around,,Banco De Oro
16,8/29/2023 20:20,"It would be wonderful if you keep some of my most loved and used features that are in the old app:
- The ability to enable or disable the account when overseas
- Limiting amount transactions for ATM withdrawals, online purchases requiring PIN, and non-PIN transactions

I may have missed a few more features but the ones above are important and they make users feel secure that we have control over these items. Or are these features in the new app and I just did not look enough? Thanks for looking into this!",4,False,Lableelabs,Love the new UI but new app lacks my most used features,,Banco De Oro
17,3/22/2022 5:21,"My Old BDO online banking asked me to change my password every 3 months but when i installed this app i cannot log in my account but when u tried using my old password i somehow get through but the app is asking me for an otp and i get it. Then problem is the message the app is aending me is not an otp but on how to add my device to the new app. Unfortunately since no otp was given i cannot log in. Ending? I uninstalled this useless app. Better stick to my old one. Btw, my BDO pay is also useless. I tried sending money not more that 50k to another financing app but i was inly able to send 30k and up until now for how many days i still cannot send the remaining 20k though it says that the limit per day is 50k. So much hassle BDO",1,False,Jazzfort,Cannot log in,,Banco De Oro
18,2/28/2023 5:19,"Banking apps don’t tend to be good but BDO’s has to be the absolute worst. They’re always under maintenance, it takes forever to send an OTP. When you request to resend an OTP it sends you a completely different one, so when you finally receive your OTP you don’t know if it’s the new valid one, or the old one that’s been invalidated already. Whenever you do a fund transfer it takes forever for it to register in their own system. By the time I press send on the app BDO will say it’s still pending, but when I check my other banking app the payment has already been received. When receiving, the BDO app is also very delayed. I never know when I’ve received payments. BDO really finds ways to ruin your day.",1,False,Ducktator69,Worst banking app,,Banco De Oro
19,9/14/2023 12:26,"One of the prominent improvements on the new app is the user interface. However, the old app has more features than this one. The ff are the top opportunities so far: 1) see list of transactions with running balance, 2) have an option to generate customized SOA, 3) set transaction limits and lock/unlock account, and 4) billers can be saved. In addition, no notice to customers is being posted if there’s any system maintenance. This is a huge disappointment given that BDO is the top bank in the PH yet cannot provide quality app/service. I already provided the opportunities above, and hopefully the said features would be available soon given those are a given already.",1,False,ira_05,Lacking features,,Banco De Oro
20,9/11/2023 0:49,Add more information on your error messages aside from saying a vague message “Unable to send money”. This will give users more clarity on what the issue is like if they reached a certain transfer limit and know when to reach out to your CS. Be more pro-active in letting your users know if there is an ongoing issue (outage) in any part of your system inside the app or any routine maintenance and how it impacts them. These will surely help in reducing your customer support load and improve user experience. I think you should have enough budget to hire competent engineers to do this and not just settle on this app that looks like it was made by interns.,1,False,hpjules,Need more useful error messages and proactive notifications,,Banco De Oro
21,5/23/2022 16:33,"""Sorry we're unable to do that right now. Please try again later."" Ever since I created a new account thru online account opening, this error has been there. I went to the bank, tried calling your customer service, still this hasn't been fixed. Your fb and website chatbot isn't helpful as well, and your hotline is always busy. Even your email isn't very responsive, I always get an automated email as feedback. Online banking should've been easy and reliable especially for those people who needed them the most (my case, I'm pregnant). So what's the use of advertising this app and enrolling with your online banking if your customers even cant use them?",1,False,nclsmnxism,CANNOT LOG IN,,Banco De Oro
22,8/17/2023 1:05,"The app's performance is quite sluggish. Upon logging in, the account balances fail to update promptly, necessitating the need to manually refresh the screen by swiping downwards.

On one occasion, I attempted to send money to another bank, and the app prompted me to confirm the transaction using face ID. Despite complying with the request, nothing seemed to happen. Assuming the transaction had not gone through, I proceeded to click the confirm button once more. Surprisingly, it declared the transaction as failed. However, to my dismay, it had actually processed the transaction twice, resulting in duplicate money transfers.

Using this app has proven to be a bothersome experience, filled with unnecessary complications and inconveniences.",1,False,markhizen,Disappointed,,Banco De Oro
23,8/18/2023 2:52,"This app doesn’t show all my enrolled accounts. The FAQ states that I don’t have to manually add them because it’s “automatic”. News flash, it’s not. 

Also, I’m using a password manager and this app and even your website doesn’t let you copy and paste your password so I have to manually type in my password every time I have to change it which is silly because that’s what the password manager is for! You won’t even allow special characters in your passwords!

Seriously, what a let down. Your devs deserve more. I assume your devs already know what to do but the stakeholders just won’t listen. Heck, I guess you won’t even read customer reviews.",1,False,timhintay,The most useless banking app I have seen,,Banco De Oro
24,8/21/2023 6:31,"I want to send money to my relatives that already enrolled to my account.. the problem is the new app can't send money from enrolled accounts(Another Person). it has QR function but I need to be able to send money from enrolled accounts.

I also have a Gcash saved/preset information for ""other local banks"" on the 'soon to be old app' so I don't have to type a single thing other than the amount everytime I transfer cash from BDO to Gcash. seems like its not imported on the new app too. 

bottomline problem is we can't send money on enrolled accounts and we need to input their acc number everytime we send money or use QR every single transaction. tedious.",1,False,iPhone4 critix,Enrolled accounts,,Banco De Oro
