,date,review,rating,isEdited,title,userName,developerResponse
0,3/3/2023 14:18,"Although this is a strategic departure from the previous app, which is also one of the best banking apps in the PH, the user interface in this new app is too minimalist to the point that you get confused on all the information listed in a single tab, especially for the credit card tab - this is the most confusing one as there’s not much visual indicators that the info you’re reading is under this card as opposed to the other in the same tab. It gives me headaches. 

Maybe you could use better compartmentalization or division strategy instead of what is being adopted right now. 

It would be nice as well to see and celebrate BPI’s new logo in the app’s logo, not just the letters BPI shown currently. 

 Please show also the our BPI credit points in the credit card tab instead of us going through VYBE app. It’d be better if you integrate everything into a single app. 

Maybe you can try searching for inspirations from other international banks’ banking app, such as DBS / UBS / Citi. They have amazing UIs that you can try adopting. 

Please utilize such innovations like digital credit card that can be added in Apple’s wallet app. 

It’s good and promising as compared to other banking apps in the PH, but needs more refining. Hope you invest in the comments I’ve made as how I invested in criticizing your promising app towards digitalization.",2,FALSE,UI is too confusing to the point of giving me headaches,LuigiJ10,
1,6/24/2023 10:35,"I prefer to do my online banking on my computer, with its larger screen,  rather than on my phone. I had the old app installed in order to authorise payments using the mobile key. After installing the new app, I was unable to authorise payments using my phone. After loading up the payment on my computer and instructing the web page to confirm the payment, I received a pop up notice on my phone saying I should tap to authorise. However, when I tapped it, the notice disappeared and nothing happened. The only way I could make a payment was to load it up on the new app on my phone and authorise it on my phone. My wife had exactly the same problem after installing the new app. So, I uninstalled the new app and re-instated the old app. After going back to the old app, I was able to load up tje payment on my computer and authorise it on my computet. I waited for the usual pop up notice to appear but nothing happened. The payment was authorised from my computer without the need to insert a mobile key on my phone. This new app needs to be debugged before I will install it again.",1,FALSE,Bad. Had to revert to the old app,Chris Cebu,
2,6/21/2023 15:27,"I downloaded just to try the app and validate user complaints as well as praises. At device registration stage, I have already been turned off. I have to send the verification link (?) to an unknown (although presumably secure) phone number within ten seconds. However, the interface (?) of the message board looks like the ones one receives from scam links, so I need to verify the contents of the message. Before I know it, time has lapsed and I’m brought back to the login page. After successfully getting in on the third attempt, I saw the exaggeratedly minimalist interface typical of Gen Y books that offer little graphics and eye-unfriendly text. I’m thinking it could be resistance to change on my part, but I also see it’s uncomfortably minimalist that alienates a senior market. Further, if there are younger users who also feel uncomfortable about the minimalist approach in this app, there may be a need to seriously consider making the text more readable and the entire interface more visually appealing to all generational markets, certainly still sticking to the security perspective foremost.
Simply said, I am underwhelmed.",1,FALSE,Senior Citizen UNFRIENDLY,Ornezz,
3,7/2/2023 4:47,"So disappointing. I do all my banking transactions on my iPad. After activating the new app and the mobile key on my device with SIM, I thought I can already use it also on my other device, my iPad specifically. But NO, after logging in the system will instruct again that SIM card should be inserted in the device you are linking to your account. 
I waited for a bit before downloading the new app because of all the unfavorable feedbacks and now I am chiming in my disappointment. Your device registration process is tedious if you expect your customers to transfer their SIM card in all the devices they want to link their account to. 
I’m OK with one device policy but I want the app to be on the device I prefer to use and not be forced to use the app on my small phone because of your requirement that the SIM card should be inserted in the device where the app is being used. For such a big company I would have expected you to use facial scans for added security and not SMS.
Ever since you launched your mobile app I’ve been using it on my iPad and now I can’t in this new app. Please fix this.",1,FALSE,CANNOT USE THE NEW APP ON MY IPAD,AprilKimLPS,
4,9/16/2023 10:02,"Unlike the previous gen app this new one is a headache to use. The new BPI app might have more advanced features but it seems like the developer failed to consider the user experience. Who cares about AI telling me what to do with my money? I just need an app that I can use with ease to do whatever I need to do. From the get go the device registration was fishy and it fails to consider customer preference for multiple devices. Once inside the app the font is hard to read.  Developers should have considered the reality that most mobile banking customers use the app on the go - when in a hurry, the app should enable this “quick look and transactions” but heck to do this we need to read the info. The font has to go. 

I also think the  old interface was easier to adopt to. This one will take longer for me or perhaps I might do my banking transactions on desktop but that defeats the purpose a mobile banking app. 

I think this is step forward for tech but a regression on CX. I am not looking forward to end Sept when the bank fully migrates to this “upgraded” version.",1,FALSE,No good,SpunkyChinita,
5,6/29/2023 12:22,"I recently started using the new BPI App and I must say, it's been an absolute game-changer for my financial management! The app's interface is sleek and user-friendly, making it incredibly easy to navigate through various features. Security is always a top concern. Their authentication and security measures give me peace of mind knowing that my financial information is well-protected.

One thing that I want them to add in the feature of this app is the enrollment of billers and third party accounts like the old BPI App.

Overall, I highly recommend opening a bank account in BPI since you can easily create a new account in just the click of your fingers and by not having to visit any BPI branch. The app is secure, more user-friendly, and offers excellent features that make banking a breeze. Give it a try!",5,FALSE,Kudos BPI,Rduatiro,
6,6/30/2023 14:09,"The old way is working fine so why change it. For my privacy, the phone # assoc with my BPI acct is on an analog phone, if only for that annoying OTP. I use a separate smartphone with this app bc why not. I like it that way. And what about people who are using SIM-less tablets? How are they supposed to log in?? Did your developers really think this through?? If you really want to make things secure, give customers options on how to register, and you should allow physical keys like Yubikeys instead to provide options for customers other than the old SMS OTP, wc is unsecured. You should be focusing on the ff things that are more urgent and necessary, if you ask me: 1) make the charges/payments appear real-time or at least witihn 24hrs, 2) have the option to lock the credit cards for safety, 3) req for cc replacements, 4) report fraudulent charges or other concerns, all directly on the app.",1,FALSE,I will not use the new app if you keep on pushing the device registration,Lyn-----,
7,7/17/2023 1:27,"TO THE UX/UI DESIGNERS: maybe you think to ignore the user’s feedback nalang kase wala naman kaming magagawa and maybe we can all accept the design in the future BUT PLEASE LISTEN. Improve the design or just revert it back to the original app. We are begging. 

All I kept saying was “omg…😫”. Sorry but this is a mega downgrade from the original app. That one looked better, colors are bright and contrasting, classy. This one, the colors are super dull, you can’t really see the distinction between the different categories. The navbar is placed way down. The whole feel is WAY TOO MINIMALIST to the point that it looks so outdated, like a 2018 app. You guys changed it for the sake of changing it. This is a real banking app, not some practice project. It was also bombarded with unecessary icons. The padding is also too narrow. I hope you guys just bring back the old design and let’s move on.",1,FALSE,Cheap looking UI/UX,kkimmmi,
8,6/26/2023 1:05,"First is the design and color scheme wherein it is too much far from the BPI colors and logos that I think it lost the character of the bank. Second would be the credit card transactions still does not reflect real-time and hope you can add buttons or settings to help cardholders utilize the features of the CC (convert straight purchases to installment, request increase in credit limit, button to request travel insurance proof if cc was used in purchasing plane tickets, etc.) to lessen also the calls regarding this. Third is that there are more that you can do in the new app, but since some capability of the old app is not in the new app, users tend to switch back to the old app. So i hope all capabilities should be with the new app as well.",3,FALSE,Has a lot of room for improvements,PLNZR11,
9,6/22/2023 0:37,"When you go to Accounts Tab > select a credit card > scroll to the bottom and select the same card again > tab the back button, it works but to go back to the main menu you need to kill the app because the 2nd back button does not work. Also when paying bills and you search for a biller/merchant that is not on your enrolled merchants and returns null, there is an option to enroll a new biller but the link “enroll new biller” under the search box is not working.  I am able to to do basic transactions though.
And there is a Privacy setting that the app wants you to enable called tracking. What exactly does it track and what access does bpi have on my device? What service will be impacted if i leave it disabled?",3,FALSE,Navigation Bugs,Gabbie-kun,
10,9/5/2023 6:41,"I don’t get it why BPI needs to make another app when the old app is working perfectly fine and is very easy to navigate for everyone. Also, why implement a new banking app when there are still a lot of issues going on? Why haven’t you tried the app and troubleshoot first before advising the users to use it on a specific date going forward? That is so being unprofessional move of BPI, not being proactive and didn’t have a second thought about this new banking app. What a shame!

In my case, it is so annoying that I needed to transfer my sim card to another phone just so I can register my other phone but the registration was failed multiple times already even if I have’t registered any of my phones yet! Still, I can’t use the new app so I needed to switch from the old BPI app.

The reason why I don’t put my sim card (registered number) into the phone I’m currently using for online banking is for security purposes - so that anyone cannot find the OTP from the phone itself if they attempt to transact on my phone in case they have access to it.

I just hope BPI considers the reviews seriously.",1,FALSE,Worst BPI Banking App Version Ever!!!,Never again to Smart,
11,5/24/2023 2:57,"I could see why people tend to get confused using the new BPI app than the old app. The old app uses BOLD TEXTS, CLEAN and SIMPLE ICONS which makes it clear for the users. While the new app is the opposite. I hope the developers would take note on this in improving the new app for a better experience for users, such as myself. :)

Another thing, I don’t like it how we can’t copy and paste details when transferring to other banks and that all other info goes to another page after page. Maybe we can bring back the same program as the old one in transferring to other banks like you can see all the details in one area. Before proceeding for transfer.",3,FALSE,"It’s okay, but design needs more improvement",Ella_Dy,"{'id': 36728013, 'body': ""Thank you for using the new BPI Mobile app. We really appreciate you taking the time out to share your suggestion. We'll take note of this and furher improve our service moving forward."", 'modified': '2023-05-25T10:00:41Z'}"
12,6/30/2023 4:52,"Though everything kinda upgrade their application, I guess you developer team should enhance or upskill some of aspect in the said application. Better have an Arial font rather that times new roman font style so those people with aged can read cleary the text and wont be confuse of. Make the UI user-friendly and upgrade your security. This is the most important so the trust of your client wont be lost towards your company. All customer doesnt want their money not safe. Upgrade for the best of you can that will fonder customer that you deliver your vision and mission with high standard of service work.",4,FALSE,Well Upgrade but should enhance more,aweeesjyy,
13,6/9/2023 17:02,"I was excited to see what's new with this new app of yours but was extremely disappointed. The UI design is so ugly contrary to what is currently existing so my big question is ""if it ain't broke, why fix it?"". My head aches so much looking at your app's so called new and improved design; the font you have used, the layout, the buttons, the hierarchy of each page is also problematic. I encountered bugs along the way. Overall the feel is not user-friendly and feels cheap compared to the existing one that screams class. Please tell whoever designed your latest UI it's so UGLYYYYY and I super hate it! And this app is supposed to be used by August 1??? 
I dont want to use it just stick to your current functioning app!!!",1,FALSE,If it Ain't Broke Why Fix It,puhgeh,
14,7/24/2023 1:18,"I love the convenience of BPI mobile banking before when it’s easy to transfer to other banks. But recently I cannot transfer anymore because I don’t get an OTP to process my transaction. This is the feature that I often use second to the bills payment but now its no longer useful. Also, I cannot subscribe to UITF anymore. I still need to go to the bank which makes it very inconvenient for me. I used to have the other BPI app but because these features that I mentioned are not working, I switched to this app instead hoping it will serve my needs. Unfortunately, it’s just the same.",3,FALSE,Good but can be better,Anne071379,
15,8/16/2023 16:58,"When trying to send money to another bpi account using the NEW app, i get asked for the mobile key that must be activated thru the OLD app. Most of the time, it doesn't even work. So to avoid the hassle I just use the old app to successfully do transfers. TBH I'm fine with just using the old one while waiting for this to be in parallel when it comes to these functionalities. The problem is, I have to transfer to a new phone now and I noticed that I can no longer find the old app in the App store. You're already force-migrating your customers to the new app despite the major dependency on the old one. If the new one cannot do simple money transfers, let us use the old one in the meantime.",1,FALSE,Cannot do money transfer,iwamboo,
16,7/23/2023 14:21,"This BPI app did not update my payment from ATM ACCOUNT to CREDIT CARD PAYMENT. it seems frowning and downgrading feeling that you are deducted your money to pay the credit card but the money you pay to credit card did not decrease its amount it’s seem like you feel like you are robbed from your ATM ACCOUNT that you pay to credit card, not like in other bank like riyad bank when you pay your credit card in riyad Bank your ATM money will be deducted the amount you pay to the credit card. And your credit card balance to pay also reduced to feel that what you pay is working that your debt becomes smaller and smaller. Hayyyyys. Frustrating this kind of banking system.",1,FALSE,Not UPDATED WHAT I PAID IN MY ATM ACCOUNT TO CREDIT CARD PAYMENT,TOTONES2021,
17,5/27/2023 22:08,"Hi, developer I’m on ios, i found two problems for correction: #1 when checking the credit card section, the “back” button doesn’t work. I have to close the app to go back to the accounts section again. #2 when transferring funds to other bpi enrolled accounts, it will ask for mobile key, which will pop up in the notification, upon clicking on that notif, I was redirected to the old app for my mobile key, then error. So I used the old app to do my transfer instead. For your next update (i hope very soon)",3,FALSE,Found some problem on new app,jayqg,
18,6/18/2023 10:10,"There’s nothing new except for the look of the app. And oh yes this app has LESS settings available to edit. So what’s the point of having a brand new app??? New security features? They didn’t say anything about that. Couldn’t they have just updated the existing app? 🤷🏻‍♂️ 

Update. Is my app malfunctioning or are credit card transactions really not updated in real time like in other banks’ apps? And also why are card settings only for the debit card and not available for credit cards?",4,FALSE,What’s the point of this new app?,ccb888,
19,3/4/2023 4:51,"Hopefully, BPI will start showing floating transactions for credit cards, unlike now that such only appears when posted. This allows us clients to immediately see if there are unathorized transactions, instead of seeing them after a few days, thus we could be able to request for card blocking as soon as possible. 

Also, hopefully the control to temporarily block/lock the card will be added to better card security.",4,FALSE,Floating Transactions and Card Locking,D i e t,
20,7/28/2023 12:31,"This seems to be a promising app to heighten the security of our accounts. I noticed though that when transferring to another bank, I need to manually type the account number and cannot paste the copied acct numbers. This is very prone to human error  especially to longer digits and may result in wrong transfers. I am not confident with this app for this part. Also the processing of the transfer does not push through. So I had to transfer to ewallet before transferring to another bank. I hope you can do something about this Mobile Key part and the easier pasting of acct no.",2,FALSE,Failed Transfers to Another Bank,JeFloresca,
21,6/22/2023 2:00,"After using the app for a day, I find it frustrating that I can’t even do even the basic tasks. 

1. Copy-paste not working. It’s the basic and most important functionality. Manually entering the account number is prone to error, worst case the fund might be wire-transferred accidentally to unintended recipients

2. Mobile key is not working. I’m in an egg and chicken problem where I need to transfer funds to other banks. In order to transfer it, I need to activate mobile key. But mobile key is broken. So basically I’m in a limbo.",2,FALSE,One of the basic/ most important functionality is not working,Freddie Fabregas,
22,3/3/2023 13:01,"I love that my bank of choice is continuously updating their app. I am a frequent user of the old app, so I have some thoughts after checking this new app. There’s too many good changes to mention, so I will point what I think will make the app better.

I bought a large phone (14promax), so I can see more info on screen and avoid too much scrolling and tapping. The app has too much spaces (like viewing credit card transactions) and I prefer how compact and smaller but readable text the old app has. Im ok on larger fonts for the amount and account numbers.

The login page buttons on top are not noticeable and the new lock online accounts is too much to be just an icon.

Looking forward on the future updates for this new app!",5,FALSE,"Great packaging, all is secured and on time lol",Jamil B.,
23,4/14/2023 3:36,"Interface is prettier but seems less intuitive to me than the older version in terms of navigation especially when doing fund transfers - maybe just something to get used to.

Worst part - still no access to bank statements of savings accounts in my ex-BPI Family Bank branch, even the account I opened there after the merger! Even the branch only has copies of past 2-3 months, which is inadequate for most document requests for applications. Hope this can be addressed soon.",2,FALSE,"New app, same major problem",RMJLS83,
24,8/26/2023 5:31,This new app is giving me so much headache. It keeps on telling me to continue using mobile key device when I’m using my mobile key device and registered number. I’ve been to BPI branch but they weren’t able to help me with my concern as well. I cannot login my BPI Mobile Account which results that I cannot view my account on this app. This is so inconvenient knowing that you’ve been promoting to use this app for a couple months before fully transferring to this. The old app was a lot more easier to navigate and never did I experience any inconvenience such as this. I hope you fix your app. This is so frustrating.,1,FALSE,THIS NEW APP IS SO INCONVENIENT!!!!,J0000012954,
25,6/22/2023 3:15,This new app is a rehash. Nothing new but the UI. The login page seems fresh and minimalistic but once you login the UI is crude and too flat. Over all the design is a letdown and seems like it was made out of a school project. Adding a quick access of the frequently accessed features of online banking at the bottom menu is a nice touch but not a game changer. The security behind when linking to your mobile device with the registered number seems robust instead of the usual OTP.,3,FALSE,Welcome change but can be better,JeffJQ,
26,7/14/2023 9:38,"This new app does not show all of your transaction details (e.g. does not show my older credit card transactions, and they are not even a month old yet). Credit card transactions should also be posted in the app in real time just like with the deposit accounts, but instead, you would have to wait at least 2 days (if you’re lucky) to see your transactions.  The app should also have a function to temporarily block your cards (debit or credit), in case they got lost, so we wouldn’t have to call the hotline, which is so stressful and costly if you do not have a landline.",1,FALSE,Does not show older transactions,Pikachuchay82,
