index,corrected_language
996,eng_Latn
1004,eng_Latn
1125,eng_Latn
1129,eng_Latn
1154,eng_Latn
1161,eng_Latn
1180,eng_Latn
1189,eng_Latn
1197,eng_Latn
1213,eng_Latn
1246,eng_Latn
1273,tgl_Latn
1282,tgl_Latn
1376,eng_Latn
2303,eng_Latn
2436,eng_Latn
2442,eng_Latn
2468,tgl_Latn
2482,eng_Latn
2483,eng_Latn
2504,eng_Latn
2513,tgl_Latn
2519,tgl_Latn
2525,tgl_Latn
2530,tgl_Latn
3023,eng_Latn
3375,eng_Latn
3487,eng_Latn
3503,eng_Latn
3525,eng_Latn
3562,ceb_Latn
3601,eng_Latn
3603,eng_Latn
3616,eng_Latn
3617,eng_Latn
3627,eng_Latn
3647,war_Latn
3704,eng_Latn
